body,title,url
"Me gustaría poder encontrar la fórmula para poder ofrecer afecto a granel, no solo para los niños que atiende tu psiquiatra, sino para todo el mundo, estoy convencido de que nos iría mucho mejor",Carta a mi hijo con discapacidad: la importancia del cariño,https://elpais.com/mamas-papas/2021-07-30/carta-a-mi-hijo-con-discapacidad-la-importancia-del-carino.html
"For almost three years, Brazil’s president has chipped away at the social contract that has held the country together for 36 years as a democratic state. Following the cue of other far-right movements, this is how he wrote his very own authoritarian rules of the game",The Bolsonaro playbook: how to dismantle a democracy in slow motion,https://english.elpais.com/usa/2021-07-23/the-bolsonaro-playbook-how-to-dismantle-a-democracy-in-slow-motion.html
ONU Mujeres y el Alto Comisionado para los Derechos Humanos señalan que la impunidad en el caso favorece la repetición de los delitos y la violación de los derechos humanos en el país,La ONU pide a México esclarecer la tortura contra la periodista Lydia Cacho,https://elpais.com/mexico/2021-07-30/la-onu-pide-a-mexico-esclarecer-la-tortura-contra-la-periodista-lydia-cacho.html
El cineasta rejuvenece veinte años cada vez que conduce por la música que escucha en su viejo vehículo,El coche de Borja Cobeaga es una máquina del tiempo,https://elpais.com/babelia/2021-07-30/el-coche-de-borja-cobeaga-es-una-maquina-del-tiempo.html
El encuentro entre especies diferentes es uno de los temas centrales de las grandes novelas sobre la prehistoria,Sexo entre neandertales y ‘sapiens’: la literatura se adelantó a la ciencia,https://elpais.com/babelia/2021-07-29/sexo-entre-neandertales-y-humanos-la-literatura-se-adelanto-a-la-ciencia.html
"Los servicios de bicicleta, motos o patinetes comunes han ido ganando adeptos. Pero el sustituto real al coche privado serán los trayectos o vehículos compartidos ",Transporte: el progreso pasa por compartir ,https://elpais.com/planeta-futuro/2021-07-30/transporte-el-progreso-pasa-por-compartir.html
"Este asombroso documental indaga en la triste vida de Björn Andrésen, el adolescente sueco que Visconti descubrió para su ‘Muerte en Venecia’ ",‘El chico más bello del mundo’: el dolor de Tadzio,https://elpais.com/cultura/2021-07-30/el-chico-mas-bello-del-mundo-el-dolor-de-tadzio.html
"A report by the Organization of Ibero-American States shows that 95% of all work published in journals last year was in that language, with only 1% in Spanish or Portuguese ",How to end the hegemony of English in scientific research,https://english.elpais.com/usa/2021-07-30/how-to-end-the-hegemony-of-english-in-scientific-research.html
Un ‘Don Giovanni’ extravagante de Romeo Castellucci y un concierto agitador de conciencias de Patricia Kopatchinskaja trastocan la imagen conservadora de la gran cita musical centroeuropea,El Festival de Salzburgo se vuelve transgresor,https://elpais.com/cultura/2021-07-30/el-festival-de-salzburgo-se-vuelve-transgresor.html
"El descontento en la isla también tiene su reflejo en la novela, la música o las artes plásticas. Las nuevas generaciones de creadores no se resignan a elegir entre estalinismo o macartismo","Cuba, de la Guerra Fría a la guerra cultural",https://elpais.com/babelia/2021-07-31/cuba-de-la-guerra-fria-a-la-guerra-cultural.html
"La compañía justifica su decisión por la imposibilidad de competir con Uber Eats y Glovo, aunque el anuncio coincide con la obligatoriedad de contratar a los repartidores como asalariados",Deliveroo se propone cerrar su división española ,https://elpais.com/economia/2021-07-30/deliveroo-se-propone-cerrar-su-division-espanola.html
"Las empresas españolas creen que la recuperación se consolidará, aunque son más cautas sobre la evolución del empleo, según el Barómetro de Deloitte",Los empresarios declaran el estado de optimismo,https://elpais.com/economia/2021-07-25/los-empresarios-declaran-el-estado-de-optimismo.html
Marcelo Ebrard asegura que el plan de seguridad de la era Bush “está muerto”. El canciller conversa con Antony Blinken: “La idea es construir una visión común” ,México da por enterrada la Iniciativa Mérida y busca una cooperación alternativa con Washington ,https://elpais.com/mexico/2021-07-30/mexico-da-por-enterrada-la-iniciativa-merida-y-busca-una-cooperacion-alternativa-con-washington.html
"El presidente de Brasil, siguiendo la línea de Trump, alienta la confusión con mentiras mientras reclama cambios al sistema de votación ",Bolsonaro agita el fantasma del fraude en las próximas elecciones con videos viejos y teorías desmentidas,https://elpais.com/internacional/2021-07-30/bolsonaro-agita-el-fantasma-del-fraude-en-las-proximas-elecciones-con-videos-viejos-y-teorias-desmentidas.html
"Ambas partes ultiman las conversaciones, entre la necesidad de recuperar protagonismo y el temor a que un nuevo fracaso suponga un varapalo interno y con la comunidad internacional",Gobierno y oposición de Venezuela se preparan para negociar en México,https://elpais.com/mexico/2021-07-31/gobierno-y-oposicion-de-venezuela-se-preparan-para-negociar-en-mexico.html
"La inversión en REN se conoce solo un día después de que Pontegadea, el grupo que gestiona su patrimonio personal, anunciara la entrada en el accionariado de REE en España",Amancio Ortega refuerza su apuesta por las energéticas: compra un 12% de la red eléctrica portuguesa,https://elpais.com/economia/2021-07-30/amancio-ortega-refuerza-su-apuesta-por-las-energeticas-compra-un-12-de-la-red-electrica-portuguesa.html
"Familiares de activistas buscados por el Ejército permanecieron detenidos en la península egipcia bajo condiciones extremas, según una investigación sobre documentos desclasificados",Israel deportó hace 50 años a cientos de palestinos a campos de concentración en el Sinaí,https://elpais.com/internacional/2021-07-30/israel-deporto-hace-50-anos-a-cientos-de-palestinos-a-campos-de-concentracion-en-el-sinai.html
"Los escritores nacidos en los años ochenta en Cuba son más globales, más digitales, más autobiográficos y más preocupados por el feminismo o la ecología que por el patriotismo",Las letras libres de los nietos de la revolución,https://elpais.com/babelia/2021-07-31/las-letras-libres-de-los-nietos-de-la-revolucion.html
"El desempleo, el aumento de la desigualdad y los salarios bajos pueden durar hasta nueve años entre los trabajadores con menor educación en el país","Empleo en crisis, las cicatrices en el Brasil pospandemia",https://elpais.com/america/economia/termometro-social-de-america/2021-07-27/empleo-en-crisis-las-cicatrices-en-el-brasil-pospandemia.html
"‘Esta herida llena de peces’, el primer libro de la escritora colombiana, acaba de ser elegido como una de las siete novelas en español recomendadas para el verano por Babelia ",Lorena Salazar: “La herida de la violencia en Colombia sigue abierta y este país no deja que cicatrice”,https://elpais.com/internacional/2021-07-29/lorena-salazar-la-herida-de-la-violencia-en-colombia-sigue-abierta-y-este-pais-no-deja-que-cicatrice.html
"El Departamento de Justicia se opone al pulso del expresidente republicano por mantener secreta su información fiscal, también investigada en Nueva York",El Tesoro de Estados Unidos debe entregar al Congreso las declaraciones de impuestos de Trump,https://elpais.com/internacional/2021-07-30/el-tesoro-de-estados-unidos-debe-entregar-al-congreso-las-declaraciones-de-impuestos-de-trump.html
